"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000150938",7442.98631416393,-2.0596001124659,0.0553184862329423,-37.2316788242011,2.09731448326266e-303,1.26620595303157e-300,"51232","51232","51232"
"ENSG00000157680",1359.0634938634,2.54495016772481,0.0692379337808031,36.7565874478828,9.12464965334442e-296,5.26928681285742e-293,"9162","9162","9162"
"ENSG00000136068",3796.1265394147,-1.64977276498753,0.0449315990799532,-36.7174282413554,3.84991414767241e-295,2.13060665455771e-292,"2317","2317","2317"
"ENSG00000104081",804.838487338129,4.43411747111759,0.120973076378806,36.6537547349209,3.98723929910018e-294,2.11834049482595e-291,"90427","90427","90427"
"ENSG00000165434",1243.14971044106,2.51721438462048,0.0691632657452576,36.3952505350441,5.06099476463148e-290,2.58538971014751e-287,"283209","283209","283209"
"ENSG00000101825",1024.97040543336,3.28773227521202,0.090465607749015,36.3423444225722,3.47141459511934e-289,1.70767883897685e-286,"25878","25878","25878"
"ENSG00000117724",1324.17284690485,-2.82509148003972,0.077966351193034,-36.2347530288442,1.72752184962464e-287,8.19462328811229e-285,"1063","1063","1063"
"ENSG00000074416",2392.80973934457,-2.14804847933034,0.0594900052166335,-36.1077204735181,1.71591935677698e-285,7.85891065403859e-283,"11343","11343","11343"
"ENSG00000181104",14922.5173336984,1.66816051321881,0.0463686111387491,35.9760724388997,1.98034424809753e-283,8.76764410107711e-281,"2149","2149","2149"
"ENSG00000166073",2268.80918089117,-2.20667217287903,0.0614138056098065,-35.9312071767568,9.95013489534249e-283,4.26315134451416e-280,"11245","11245","11245"
"ENSG00000104368",13214.4968037918,2.02764888857773,0.0565989511840254,35.8248491563925,4.53258229483802e-281,1.8813049387512e-278,"5327","5327","5327"
"ENSG00000115963",13232.3301349766,1.80530722003605,0.050421248544184,35.8044925931191,9.40200474460573e-281,3.78416445508646e-278,"390","390","390"
"ENSG00000091527",2814.15907315816,-1.81026791217629,0.0507296006379328,-35.6846474131844,6.84086901238376e-279,2.67236535948474e-276,"55573","55573","55573"
"ENSG00000033867",3157.52042924196,1.93501712822086,0.0543927764638691,35.5748916311749,3.42600007867009e-277,1.30011808699703e-274,"9497","9497","9497"
"ENSG00000074800",18390.4756149844,-1.33891672978499,0.0376661384118444,-35.5469603797761,9.25754410095195e-277,3.41551946524566e-274,"2023","2023","2023"
"ENSG00000143799",1043.84682510942,-2.61746021968523,0.0738807050697827,-35.4281976222744,6.28529426340161e-275,2.25625076774325e-272,"142","142","142"
"ENSG00000164938",1395.92210584831,2.31778729691834,0.0655361702801113,35.3665355636707,5.58475904145348e-274,1.95202025233119e-271,"94241","94241","94241"
"ENSG00000110002",899.504360793506,4.43910356706716,0.125725505423442,35.3078999532857,4.44212202847711e-273,1.51282730210854e-270,"4013","4013","4013"
"ENSG00000088325",1049.74978195443,-3.01206937190767,0.0856122626193814,-35.1826862151612,3.67923133120998e-271,1.22168876352827e-268,"22974","22974","22974"
"ENSG00000196549",1520.30148791169,2.83743488514454,0.0806877678054796,35.1656138509739,6.71064007511296e-271,2.17392003604025e-268,"4311","4311","4311"
"ENSG00000133318",1500.97300012898,-2.41401748390567,0.0690836424059061,-34.9434019376385,1.63103049560864e-267,5.15793977206524e-265,"10313","10313","10313"
"ENSG00000073712",2356.74691021858,-2.30512991942323,0.0660504093767866,-34.8995553725268,7.5507918145077e-267,2.33231667163468e-264,"10979","10979","10979"
"ENSG00000198959",5110.85796803933,-1.74618122239225,0.0500404249029732,-34.8954115753021,8.72662831311038e-267,2.63425175578936e-264,"7052","7052","7052"
"ENSG00000154864",1374.01910088605,2.357870994391,0.0675794182633462,34.8903712843865,1.04061150045689e-266,3.07142265534853e-264,"63895","63895","63895"
